Datum,Region_Name,Region_Id,Todesfaelle,Todesfaelle_gesamt
2020-W31,Nordrhein-Westfalen,05,6,1724
2020-W31,Hessen,06,2,516
2020-W31,Rheinland-Pfalz,07,1,232
2020-W31,Baden-Württemberg,08,6,1839
2020-W31,Bayern,09,3,2608
2020-W31,Saarland,10,0,173
2020-W31,Berlin,11,0,217
2020-W31,Brandenburg,12,0,167
2020-W31,Mecklenburg-Vorpommern,13,0,20
2020-W31,Sachsen,14,0,227
2020-W31,Sachsen-Anhalt,15,1,63
2020-W31,Thüringen,16,0,182
2020-W32,Schleswig-Holstein,01,2,151
2020-W32,Hamburg,02,1,262
2020-W32,Niedersachsen,03,1,645
2020-W32,Bremen,04,0,57
2020-W32,Nordrhein-Westfalen,05,20,1744
2020-W32,Hessen,06,5,521
2020-W32,Rheinland-Pfalz,07,0,232
2020-W32,Baden-Württemberg,08,9,1848
2020-W32,Bayern,09,5,2613
2020-W32,Saarland,10,0,173
2020-W32,Berlin,11,1,218
2020-W32,Brandenburg,12,1,168
2020-W32,Mecklenburg-Vorpommern,13,0,20
2020-W32,Sachsen,14,0,227
2020-W32,Sachsen-Anhalt,15,0,63
2020-W32,Thüringen,16,1,183
2020-W33,Schleswig-Holstein,01,0,151
2020-W33,Hamburg,02,2,264
2020-W33,Niedersachsen,03,2,647
2020-W33,Bremen,04,0,57
2020-W33,Nordrhein-Westfalen,05,16,1760
2020-W33,Hessen,06,1,522
2020-W33,Rheinland-Pfalz,07,3,235
2020-W33,Baden-Württemberg,08,1,1849
2020-W33,Bayern,09,5,2618
2020-W33,Saarland,10,0,173
2020-W33,Berlin,11,0,218
2020-W33,Brandenburg,12,0,168
2020-W33,Mecklenburg-Vorpommern,13,0,20
2020-W33,Sachsen,14,0,227
2020-W33,Sachsen-Anhalt,15,0,63
2020-W33,Thüringen,16,3,186
2020-W34,Schleswig-Holstein,01,2,153
2020-W34,Hamburg,02,1,265
2020-W34,Niedersachsen,03,4,651
2020-W34,Bremen,04,0,57
2020-W34,Nordrhein-Westfalen,05,22,1782
2020-W34,Hessen,06,2,524
2020-W34,Rheinland-Pfalz,07,1,236
2020-W34,Baden-Württemberg,08,2,1851
2020-W34,Bayern,09,2,2620
2020-W34,Saarland,10,0,173
2020-W34,Berlin,11,1,219
2020-W34,Brandenburg,12,0,168
2020-W34,Mecklenburg-Vorpommern,13,0,20
2020-W34,Sachsen,14,0,227
2020-W34,Sachsen-Anhalt,15,1,64
2020-W34,Thüringen,16,0,186
2020-W35,Schleswig-Holstein,01,0,153
2020-W35,Hamburg,02,1,266
2020-W35,Niedersachsen,03,4,655
2020-W35,Bremen,04,0,57
2020-W35,Nordrhein-Westfalen,05,11,1793
2020-W35,Hessen,06,3,527
2020-W35,Rheinland-Pfalz,07,1,237
2020-W35,Baden-Württemberg,08,7,1858
2020-W35,Bayern,09,4,2624
2020-W35,Saarland,10,0,173
2020-W35,Berlin,11,0,219
2020-W35,Brandenburg,12,0,168
2020-W35,Mecklenburg-Vorpommern,13,0,20
2020-W35,Sachsen,14,0,227
2020-W35,Sachsen-Anhalt,15,0,64
2020-W35,Thüringen,16,0,186
2020-W36,Schleswig-Holstein,01,1,154
2020-W36,Hamburg,02,1,267
2020-W36,Niedersachsen,03,3,658
2020-W36,Bremen,04,2,59
2020-W36,Nordrhein-Westfalen,05,13,1806
2020-W36,Hessen,06,4,531
2020-W36,Rheinland-Pfalz,07,0,237
2020-W36,Baden-Württemberg,08,1,1859
2020-W36,Bayern,09,4,2628
2020-W36,Saarland,10,1,174
2020-W36,Berlin,11,0,219
2020-W36,Brandenburg,12,0,168
2020-W36,Mecklenburg-Vorpommern,13,0,20
2020-W36,Sachsen,14,0,227
2020-W36,Sachsen-Anhalt,15,1,65
2020-W36,Thüringen,16,0,186
2020-W37,Schleswig-Holstein,01,0,154
2020-W37,Hamburg,02,1,268
2020-W37,Niedersachsen,03,2,660
2020-W37,Bremen,04,0,59
2020-W37,Nordrhein-Westfalen,05,6,1812
2020-W37,Hessen,06,4,535
2020-W37,Rheinland-Pfalz,07,3,240
2020-W37,Baden-Württemberg,08,3,1862
2020-W37,Bayern,09,3,2631
2020-W37,Saarland,10,0,174
2020-W37,Berlin,11,0,219
2020-W37,Brandenburg,12,0,168
2020-W37,Mecklenburg-Vorpommern,13,0,20
2020-W37,Sachsen,14,1,228
2020-W37,Sachsen-Anhalt,15,0,65
2020-W37,Thüringen,16,2,188
2020-W38,Schleswig-Holstein,01,0,154
2020-W38,Hamburg,02,1,269
2020-W38,Niedersachsen,03,2,662
2020-W38,Bremen,04,0,59
2020-W38,Nordrhein-Westfalen,05,15,1827
2020-W38,Hessen,06,5,540
2020-W38,Rheinland-Pfalz,07,1,241
2020-W38,Baden-Württemberg,08,4,1866
2020-W38,Bayern,09,3,2634
2020-W38,Saarland,10,1,175
2020-W38,Berlin,11,1,220
2020-W38,Brandenburg,12,0,168
2020-W38,Mecklenburg-Vorpommern,13,0,20
2020-W38,Sachsen,14,0,228
2020-W38,Sachsen-Anhalt,15,0,65
2020-W38,Thüringen,16,1,189
2020-W39,Schleswig-Holstein,01,0,154
2020-W39,Hamburg,02,0,269
2020-W39,Niedersachsen,03,13,675
2020-W39,Bremen,04,0,59
2020-W39,Nordrhein-Westfalen,05,21,1848
2020-W39,Hessen,06,6,546
2020-W39,Rheinland-Pfalz,07,3,244
2020-W39,Baden-Württemberg,08,6,1872
2020-W39,Bayern,09,10,2644
2020-W39,Saarland,10,0,175
2020-W39,Berlin,11,1,221
2020-W39,Brandenburg,12,0,168
