Datum,Altersgruppe,Todesfaelle,Todesfaelle_gesamt
2022-W28,00-04,2,35
2022-W28,00+,662,142185
2022-W28,05-14,0,29
2022-W28,15-34,3,397
2022-W28,35-59,28,7308
2022-W28,60-79,186,43112
2022-W28,80+,443,91295
2022-W29,00-04,0,35
2022-W29,00+,674,142859
2022-W29,05-14,1,30
2022-W29,15-34,4,401
2022-W29,35-59,29,7337
2022-W29,60-79,189,43301
2022-W29,80+,451,91746
2022-W30,00-04,0,35
2022-W30,00+,800,143659
2022-W30,05-14,0,30
2022-W30,15-34,5,406
2022-W30,35-59,24,7361
2022-W30,60-79,222,43523
2022-W30,80+,549,92295
2022-W31,00-04,0,35
2022-W31,00+,888,144547
2022-W31,05-14,1,31
2022-W31,15-34,3,409
2022-W31,35-59,29,7390
2022-W31,60-79,244,43767
2022-W31,80+,611,92906
2022-W32,00-04,0,35
2022-W32,00+,844,145391
2022-W32,05-14,0,31
2022-W32,15-34,2,411
2022-W32,35-59,20,7410
2022-W32,60-79,229,43996
2022-W32,80+,593,93499
2022-W33,00-04,0,35
2022-W33,00+,863,146254
2022-W33,05-14,1,32
2022-W33,15-34,1,412
2022-W33,35-59,25,7435
2022-W33,60-79,241,44237
2022-W33,80+,595,94094
2022-W34,00-04,1,36
2022-W34,00+,604,146858
2022-W34,05-14,0,32
2022-W34,15-34,2,414
2022-W34,35-59,19,7454
2022-W34,60-79,166,44403
2022-W34,80+,416,94510
2022-W35,00-04,0,36
2022-W35,00+,654,147512
2022-W35,05-14,0,32
2022-W35,15-34,3,417
2022-W35,35-59,30,7484
2022-W35,60-79,182,44585
2022-W35,80+,439,94949
2022-W36,00-04,0,36
2022-W36,00+,546,148058
2022-W36,05-14,0,32
2022-W36,15-34,2,419
2022-W36,35-59,20,7504
2022-W36,60-79,164,44749
2022-W36,80+,360,95309
2022-W37,00-04,1,37
2022-W37,00+,642,148700
2022-W37,05-14,0,32
2022-W37,15-34,4,423
2022-W37,35-59,29,7533
2022-W37,60-79,187,44936
2022-W37,80+,421,95730
2022-W38,00-04,0,37
2022-W38,00+,527,149227
2022-W38,05-14,0,32
2022-W38,15-34,3,426
2022-W38,35-59,24,7557
2022-W38,60-79,144,45080
2022-W38,80+,356,96086
2022-W39,00-04,0,37
2022-W39,00+,607,149834
2022-W39,05-14,0,32
2022-W39,15-34,0,426
2022-W39,35-59,18,7575
2022-W39,60-79,167,45247
2022-W39,80+,422,96508
2022-W40,00-04,1,38
2022-W40,00+,474,150308
2022-W40,05-14,0,32
2022-W40,15-34,0,426
2022-W40,35-59,17,7592
2022-W40,60-79,122,45369
2022-W40,80+,334,96842
2022-W41,00-04,0,38
2022-W41,00+,894,151202
2022-W41,05-14,0,32
2022-W41,15-34,3,429
2022-W41,35-59,28,7620
2022-W41,60-79,234,45603
2022-W41,80+,629,97471
2022-W42,00-04,0,38
2022-W42,00+,1067,152269
2022-W42,05-14,0,32
2022-W42,15-34,4,433
2022-W42,35-59,35,7655
2022-W42,60-79,297,45900
2022-W42,80+,731,98202
2022-W43,00-04,1,39
2022-W43,00+,1085,153354
2022-W43,05-14,1,33
2022-W43,15-34,3,436
2022-W43,35-59,37,7692
2022-W43,60-79,287,46187
